0.2066	1.04	1.59
0.2138	1.10	1.67
0.2214	1.18	1.74
0.2296	1.28	1.78
0.2384	1.38	1.80
0.2480	1.47	1.78
0.2583	1.53	1.71
0.2695	1.52	1.67
0.2818	1.49	1.64
0.2952	1.42	1.64
0.3099	1.34	1.72
0.3263	1.34	1.81
0.3444	1.31	1.87
0.3646	1.27	1.95
0.3874	1.18	2.21
0.4133	1.18	2.21
0.4428	1.17	2.36
0.4768	1.15	2.50
0.5166	1.12	2.60
0.5390	1.04	2.59
0.5635	0.826	2.60
0.5904	0.468	2.81
0.6199	0.272	3.24
0.6525	0.214	3.67
0.6702	0.215	3.86
0.6880	0.213	4.05
0.7084	0.214	4.24
0.7293	0.223	4.43
0.8265	0.260	5.26
1.240	0.433	8.46
1.265	0.496	6.78
1.291	0.505	6.92
1.319	0.515	7.06
1.348	0.525	7.21
1.378	0.536	7.36
1.409	0.547	7.53
1.442	0.559	7.70
1.476	0.572	8.06
1.512	0.586	8.47
1.550	0.606	8.92
1.589	0.627	9.16
1.631	0.649	9.41
1.675	0.672	9.97
1.722	0.697	7.88
1.771	0.723	8.26
1.823	0.752	8.69
1.878	0.782	9.68
1.937	0.815	10.3
2.000	0.850	10.6
