0.1025	1.308	0.581
0.1051	1.304	0.578
0.1078	1.300	0.573
0.1107	1.293	0.566
0.1137	1.280	0.560
0.1170	1.265	0.560
0.1204	1.252	0.564
0.1240	1.241	0.568
0.1278	1.229	0.566
0.1348	1.182	0.550
0.1378	1.149	0.552
0.1409	1.112	0.563
0.1442	1.073	0.581
0.1476	1.032	0.610
0.1512	0.993	0.653
0.1550	0.962	0.706
0.1590	0.940	0.770
0.1631	0.935	0.832
0.1675	0.936	0.892
0.1722	0.942	0.951
0.1771	0.953	1.01
0.1823	0.969	1.07
0.1879	0.995	1.13
0.1937	1.028	1.18
0.1968	1.048	1.21
0.2000	1.072	1.24
0.2033	1.098	1.26
0.2066	1.125	1.27
0.2138	1.173	1.29
0.2214	1.208	1.30
0.2296	1.238	1.31
0.2384	1.265	1.33
0.2480	1.298	1.35
0.2530	1.320	1.35
0.2583	1.343	1.35
0.2638	1.372	1.35
0.2695	1.404	1.33
0.2755	1.441	1.31
0.2818	1.476	1.26
0.2883	1.502	1.19
0.2952	1.519	1.08
0.2988	1.522	0.992
0.3024	1.496	0.882
0.3061	1.432	0.766
0.3100	1.323	0.647
0.3115	1.246	0.586
0.3139	1.149	0.540
0.3155	1.044	0.514
0.3179	0.932	0.504
0.3195	0.815	0.526
0.3220	0.708	0.565
0.3237	0.616	0.609
0.3263	0.526	0.663
0.3306	0.371	0.813
0.3324	0.321	0.902
0.3351	0.294	0.986
0.3397	0.259	1.12
0.3444	0.238	1.24
0.3542	0.209	1.44
0.3647	0.186	1.61
0.3757	0.200	1.67
0.3875	0.192	1.81
0.4000	0.173	1.95
0.4133	0.173	2.11
0.4275	0.160	2.26
0.4428	0.157	2.40
0.4592	0.144	2.56
0.4769	0.132	2.72
0.4959	0.130	2.88
0.5166	0.130	3.07
0.5391	0.129	3.25
0.5636	0.120	3.45
0.5904	0.121	3.66
0.6199	0.131	3.88
0.6526	0.140	4.15
0.6888	0.140	4.44
0.7293	0.148	4.74
0.7749	0.143	5.09
0.8266	0.145	5.50
0.8856	0.163	5.95
0.9537	0.198	6.43
1.033	0.226	6.99
1.127	0.251	7.67
1.240	0.329	8.49
1.265	0.375	7.78
1.291	0.383	7.92
1.305	0.358	8.95
1.319	0.392	8.06
1.348	0.401	8.21
1.378	0.411	8.37
1.3780	0.396	9.48
1.409	0.421	8.37
1.442	0.431	8.70
1.459	0.446	10.1
1.476	0.442	8.88
1.512	0.455	9.08
1.550	0.469	9.32
1.5500	0.514	10.8
1.590	0.485	9.57
1.631	0.501	9.84
1.653	0.624	11.5
1.675	0.519	10.1
1.722	0.537	10.4
1.771	0.557	10.7
1.7710	0.844	12.2
1.823	0.578	11.1
1.879	0.600	11.4
1.907	0.873	13.3
1.937	0.624	11.8
2.000	0.650	12.2
